bridge_kit_fee_dev_collected,bridge_kit_fee_circle_collected,dev_address,transaction_hash,amount_bridged,blockchain
0.0009,0.00010000000000000005,0x6d4d522f22681b76483bf327ff7bb6748a68da5c,0x52452bb9c2e2bec452b491c35c2c258d6e807cac51ceb02a8dabbd18b9a59a0b,0.099000,arbitrum_sepolia
0.009,0.0010000000000000009,0x134d230fab42d29ce0c00b4c0d8cb9067054cf19,0x9f6298d19e0a8f8745251a551badedc9c967fa936bf5bebc5a1f1025910a6159,1.990000,arbitrum_sepolia
,,0xc994946481e19714b1e36656c0a34d1d6d1130f3,0xbfdd9efc8e6a4d9f59fd22995a59a14392919f39158e13fe5b80ae831b95e473,10.000000,arbitrum_sepolia
,,0xc6fe83bb83e7a732d37459af8a8e0454d4cba9e8,0x5195d953b0bda253773ca75007a8d98098eca331c32f630190e9564a2a2a3dfc,10.000000,arbitrum_sepolia
,,0x6d6ce2b252c008b3fc28821dca3e9f3bf9bb5210,0xd8b8335571b1663c625d805038c6cdc7fa5b02d13840005a7bfe9b7f7c2152cb,5.000000,arbitrum_sepolia
,,0x8dc791f24589f480ff31fe654d09bd01b5c5c2e8,0x12c92d8b4893891476f4fde7d89e4bff16d7469d7c21dfd2a71a2b2836faa783,20.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x5bda66e2d15f35a7371128699f446044cf343829d15dec16b6f00b11de8dc9cf,3.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x9272f4ead90a4722f00316a16697515b736d754b564981cfeca6bb87962b663d,3.000000,arbitrum_sepolia
,,0xc994946481e19714b1e36656c0a34d1d6d1130f3,0xa606a913fc7ca5e445417c75633e01818e34e1223bc6e556af23ccdf78c22c5f,1.000000,arbitrum_sepolia
,,0xc994946481e19714b1e36656c0a34d1d6d1130f3,0xb8f630f9ff4dcb3e6b46c68728a2034762486cc7855723686de4b527a1f9d0f3,1.000000,arbitrum_sepolia
,,0xf3ac5c4fc2c9272234ea5600126972385fce5a20,0x1378d2057b97279fb0c80b6fac8729341c3c9fca121078eb4d26fac792f69eac,5.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x095fa1fd3b8e0626b7dc4af894d2ae28ae5e85da3333a2b283381c9150f11746,3.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x8e8c8212372a0e4b568e2ca3c402f3e2ca97b3affdd3cdfcc19730c17bf95696,3.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x60227fae72c13d6b5a2a3e9e5586f567f975cdd9dcbdc913db0458e4d1f2c5e5,3.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x425c31903ccf79093dd07633e141a72700af5d14e31512a78bc5cba8ecdb34d1,3.000000,arbitrum_sepolia
