block_timestamp,source_tx_hash,blockchain,destination_chain,source_amount_numeric,bridge_kit_fee_total,bridge_kit_fee_circle_collected,bridge_kit_fee_dev_collected
2026-02-24 20:53:15+00:00,0xe28caf7124d82ee955e45ab18cd435eb0258d334fd314a91666927ce5f74bd47,ARB,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 20:12:28+00:00,0xb05816f7c48bed66936da23c9ecbf5a7afd61aaa48cedef3c9575fc196b4bc26,LINEA,CODEX,0.150000,0E-38,0E-38,0E-38
2026-02-24 20:07:47+00:00,0x5bcc22d2266f41f795a923429d2bfbd368f2bd96bfac84b32ccf6d9b3cd55b0e,LINEA,CODEX,0.150000,0E-38,0E-38,0E-38
2026-02-24 19:56:52+00:00,0x4cf5c4fd08cdacaf3281f5b2d9b2f576b6530819465f047c65eb2061e90b9811,LINEA,CODEX,0.150000,0E-38,0E-38,0E-38
2026-02-23 16:39:16+00:00,0xc9897afaeae1f0cdcd664934c837d6c7fe8f5f0b6fdef44adb9c0cb7091037c5,ARB,SOL,0.099813,0E-38,0E-38,0E-38
2026-02-23 11:21:13+00:00,0x2f8077d85d9e536bccb2591898f57e9e24f0cc08664f9a9386064fb63a71941d,ARB,SOL,0.100000,0E-38,0E-38,0E-38
2026-02-23 11:13:44+00:00,0x10f2298499c15fef97c3fc71924e650320139a201cd8a70046d0b4cda1a8300c,ARB,SOL,0.100000,0E-38,0E-38,0E-38
2026-02-23 10:53:29+00:00,0x0c30e3246a9d31da170d080d66f3af851bf5bb9d35f6e163b486742cd5272abb,ARB,SOL,0.100000,0E-38,0E-38,0E-38
2026-02-23 03:08:12+00:00,4ccUBRwBqdY2gvURh3UrdvGu7BdNKREtc525Qco5FM2cnZsX4G6oiftt6nVvZajvx5GRGCzQxHvaftt6L9gCHwnm,SOL,ARB,1.000000,0E-38,0E-38,0E-38
2026-02-23 03:03:29+00:00,3AfqVnEFtZsA3hQXpDwF65goqKQttSFSTkfjrnjcS4Vqr5r5j9zcVtEJeNBpt8daMgKiWd1ZMndiEYtnyFm1Xsnd,SOL,ARB,1.000000,0E-38,0E-38,0E-38
2026-02-23 02:56:43+00:00,22eLuKhmaeZGsPrsGAKi8BA8hP6CzhVE2u4LcaL4JgMCmgEvfKho8ATGa4DPd7fjxi2SdMPrTxh32RDYu2Rnnuew,SOL,ARB,1.000000,0E-38,0E-38,0E-38
2026-02-23 02:51:28+00:00,2tFoJcCjfXfCQXDnjqeNVpXTsbLMrtDhntEM9mHZyb5xNsnjmPKXsEg7nfY3r49MHJDYMjR54MXM1Csp6yK4U7PH,SOL,ARB,1.000000,0E-38,0E-38,0E-38
2026-02-23 02:48:19+00:00,CxpYrLgMDz5NSE8Hgy6jJq66tDWdhVMTuJbTweCbXPpQFTdNh9seJs7a79PTRkJRpectsMMa8iRy9pFL8K2e79E,SOL,ARB,1.000000,0E-38,0E-38,0E-38
2026-02-23 02:43:43+00:00,552u39HMx6dtsLCBq3e9V2hsZb2SWJwe1F4XKfewiMR1GHNGzprqyxqGSyWiHxj848GstBDX1CSRSAvEGj9B6mVM,SOL,ARB,1.000000,0E-38,0E-38,0E-38
2026-02-23 02:14:31+00:00,2phrc5F7fMELQspz6z3vuphWaWVhTKtairszyfsfDAx1x3MF23LUAwHumVPiUcdX5RQpqs12q2uSvek9yMZexnyR,SOL,ARB,1.000000,0E-38,0E-38,0E-38
2026-02-20 19:44:49+00:00,0x51497f895b852d2bf21083313de1880fa0532f04136864f720817b1ebab5f768,BASE,OP,7.570000,0E-38,0E-38,0E-38
